Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_RP2040(3.3V)","Arduino_Nano",142.390000,-49.950000,0.000000,top
"C1","100nF","C_0402_1005Metric",139.000000,-66.000000,90.000000,top
"C4","10uF","C_0402_1005Metric",163.980000,-62.500000,0.000000,top
"C5","100uF","C_0402_1005Metric",163.980000,-61.000000,0.000000,top
"C6","100nF","C_0402_1005Metric",163.960000,-64.000000,0.000000,top
"C7","100nF","C_0402_1005Metric",163.980000,-65.500000,0.000000,top
"C8","100nF","C_0402_1005Metric",163.980000,-67.000000,0.000000,top
"C9","100nF","C_0402_1005Metric",163.980000,-59.500000,0.000000,top
"C10","100nF","C_0402_1005Metric",160.623053,-59.407922,-90.000000,top
"D1","LED","LED_0402_1005Metric",163.000000,-72.500000,90.000000,top
"D2","SS14","D_0603_1608Metric",161.130000,-74.890000,0.000000,top
"IC1","5V Regulator","SOT230P700X180-4N",163.890000,-52.460000,0.000000,top
"J1","Power_11","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",165.000000,-85.800000,180.000000,top
"J2","Vos","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",137.250000,-86.500000,180.000000,top
"J3","PW_sensor","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",134.250000,-50.700000,0.000000,top
"J4","sensor_signal","JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",134.500000,-64.000000,90.000000,top
"Q1","BSS138","SOT95P240X120-3N",136.500000,-78.500000,0.000000,top
"Q2","BSS84","SOT-23",136.000000,-69.500000,0.000000,top
"R1","330ohm","R_0805_2012Metric",133.000000,-74.500000,0.000000,top
"R2","10k","R_0402_1005Metric",133.790350,-79.500000,-90.000000,top
"R3","100k","R_0402_1005Metric",139.000000,-76.000000,-90.000000,top
"R4","10k","R_0402_1005Metric",138.500000,-71.000000,-90.000000,top
"R9","1.2K","R_0402_1005Metric",162.000000,-70.500000,0.000000,top
"SW1","SW_SPST","SW_SPDT_PCM12",166.150000,-75.500000,90.000000,top
