Designator,Mid X,Mid Y,Rotation,Layer
A1,150.01,-67.73,0.0,top
C1,139.0,-66.0,90.0,top
C10,160.623053,-59.407922,270.0,top
C4,163.98,-62.5,0.0,top
C5,163.98,-61.0,0.0,top
C6,163.96,-64.0,0.0,top
C7,163.98,-65.5,0.0,top
C8,163.98,-67.0,0.0,top
C9,163.98,-59.5,0.0,top
D1,163.0,-72.5,90.0,top
D2,160.39,-77.6025,270.0,top
IC1,163.89,-52.46,0.0,top
J1,163.75,-85.8,180.0,top
J2,136.0,-86.5,180.0,top
J3,134.98,-51.21,180.0,top
J4,134.5,-60.25,90.0,top
Q1,136.5,-78.5,0.0,top
Q2,136.0,-69.5,180.0,top
R1,133.0,-74.5,0.0,top
R2,133.79035,-79.5,270.0,top
R3,139.0,-76.0,270.0,top
R4,138.5,-71.0,270.0,top
R9,162.0,-70.5,0.0,top
SW1,166.15,-75.5,90.0,top
