Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_RP2040(3.3V),
"C1, C10, C6, C7, C8, C9",0402,6,100nF,
C4,0402,1,10uF,
C5,0805,1,100uF,
D1,0402,1,LED,
D2,D_SOD-123F,1,SS14,
IC1,SOT230P700X180-4N,1,5V Regulator,
J1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Power_11,
J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Vos,
J3,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,PW_sensor,
J4,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,sensor_signal,
Q1,SOT95P240X120-3N,1,BSS138,
Q2,SOT-23,1,BSS84,
R1,0805,1,330ohm,
"R2, R4",0402,2,10k,
R3,0402,1,100k,
R9,0402,1,1.2K,
SW1,SW_SPDT_PCM12,1,SW_SPST,
